Episode: 1/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.1, Epsilon: 0.99
Episode: 2/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3e+01, Epsilon: 0.98
Episode: 3/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 8.7, Epsilon: 0.97
Episode: 4/1000, Scores(Time Frames): 135, Total Rewards(adjusted): 3e+01, Epsilon: 0.96
Episode: 5/1000, Scores(Time Frames): 101, Total Rewards(adjusted): -0.2, Epsilon: 0.95
Episode: 6/1000, Scores(Time Frames): 80, Total Rewards(adjusted): -0.11, Epsilon: 0.94
Episode: 7/1000, Scores(Time Frames): 88, Total Rewards(adjusted): -0.13, Epsilon: 0.93
Episode: 8/1000, Scores(Time Frames): 73, Total Rewards(adjusted): -0.05, Epsilon: 0.92
Episode: 9/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.2e+01, Epsilon: 0.91
Episode: 10/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.3e+01, Epsilon: 0.9
Episode: 11/1000, Scores(Time Frames): 76, Total Rewards(adjusted): -0.16, Epsilon: 0.9
Episode: 12/1000, Scores(Time Frames): 80, Total Rewards(adjusted): -0.17, Epsilon: 0.89
Episode: 13/1000, Scores(Time Frames): 134, Total Rewards(adjusted): 4.7e+01, Epsilon: 0.88
Episode: 14/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.3e+01, Epsilon: 0.87
Episode: 15/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 5e+01, Epsilon: 0.86
Episode: 16/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 5.8, Epsilon: 0.84
Episode: 17/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.1, Epsilon: 0.83
Episode: 18/1000, Scores(Time Frames): 204, Total Rewards(adjusted): 9.4, Epsilon: 0.82
Episode: 19/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 4.8, Epsilon: 0.81
Episode: 20/1000, Scores(Time Frames): 210, Total Rewards(adjusted): 7.1e+01, Epsilon: 0.79
Episode: 21/1000, Scores(Time Frames): 246, Total Rewards(adjusted): 9.7e+01, Epsilon: 0.77
Episode: 22/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.1e+01, Epsilon: 0.76
Episode: 23/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.4e+01, Epsilon: 0.75
Episode: 24/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.5, Epsilon: 0.74
Episode: 25/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 7.2e+01, Epsilon: 0.73
Episode: 26/1000, Scores(Time Frames): 124, Total Rewards(adjusted): -0.033, Epsilon: 0.73
Episode: 27/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 0.26, Epsilon: 0.72
Episode: 28/1000, Scores(Time Frames): 101, Total Rewards(adjusted): -0.21, Epsilon: 0.71
