Episode: 1/1000, Scores(Time Frames): 66, Total Rewards(adjusted): -0.17, Epsilon: 1.0
Episode: 2/1000, Scores(Time Frames): 66, Total Rewards(adjusted): -0.17, Epsilon: 1.0
Episode: 3/1000, Scores(Time Frames): 58, Total Rewards(adjusted): -0.19, Epsilon: 1.0
Episode: 4/1000, Scores(Time Frames): 71, Total Rewards(adjusted): -0.16, Epsilon: 0.99
Episode: 5/1000, Scores(Time Frames): 48, Total Rewards(adjusted): -0.015, Epsilon: 0.99
Episode: 6/1000, Scores(Time Frames): 158, Total Rewards(adjusted): 5.9, Epsilon: 0.98
Episode: 7/1000, Scores(Time Frames): 54, Total Rewards(adjusted): -0.047, Epsilon: 0.98
Episode: 8/1000, Scores(Time Frames): 134, Total Rewards(adjusted): -0.13, Epsilon: 0.97
Episode: 9/1000, Scores(Time Frames): 63, Total Rewards(adjusted): -0.1, Epsilon: 0.97
Episode: 10/1000, Scores(Time Frames): 52, Total Rewards(adjusted): -0.055, Epsilon: 0.97
Episode: 11/1000, Scores(Time Frames): 102, Total Rewards(adjusted): -0.13, Epsilon: 0.96
Episode: 12/1000, Scores(Time Frames): 33, Total Rewards(adjusted): -0.043, Epsilon: 0.96
Episode: 13/1000, Scores(Time Frames): 114, Total Rewards(adjusted): -0.16, Epsilon: 0.96
Episode: 14/1000, Scores(Time Frames): 48, Total Rewards(adjusted): -0.17, Epsilon: 0.95
Episode: 15/1000, Scores(Time Frames): 129, Total Rewards(adjusted): -0.065, Epsilon: 0.95
Episode: 16/1000, Scores(Time Frames): 70, Total Rewards(adjusted): -0.16, Epsilon: 0.95
Episode: 17/1000, Scores(Time Frames): 86, Total Rewards(adjusted): -0.018, Epsilon: 0.94
Episode: 18/1000, Scores(Time Frames): 81, Total Rewards(adjusted): -0.019, Epsilon: 0.94
Episode: 19/1000, Scores(Time Frames): 109, Total Rewards(adjusted): -0.14, Epsilon: 0.93
Episode: 20/1000, Scores(Time Frames): 38, Total Rewards(adjusted): -0.024, Epsilon: 0.93
Episode: 21/1000, Scores(Time Frames): 117, Total Rewards(adjusted): -0.054, Epsilon: 0.93
Episode: 22/1000, Scores(Time Frames): 56, Total Rewards(adjusted): -0.006, Epsilon: 0.92
Episode: 23/1000, Scores(Time Frames): 88, Total Rewards(adjusted): -0.056, Epsilon: 0.92
Episode: 24/1000, Scores(Time Frames): 51, Total Rewards(adjusted): -0.031, Epsilon: 0.92
Episode: 25/1000, Scores(Time Frames): 75, Total Rewards(adjusted): -0.19, Epsilon: 0.91
Episode: 26/1000, Scores(Time Frames): 49, Total Rewards(adjusted): -0.18, Epsilon: 0.91
Episode: 27/1000, Scores(Time Frames): 82, Total Rewards(adjusted): -0.073, Epsilon: 0.91
Episode: 28/1000, Scores(Time Frames): 54, Total Rewards(adjusted): -0.16, Epsilon: 0.9
Episode: 29/1000, Scores(Time Frames): 47, Total Rewards(adjusted): -0.17, Epsilon: 0.9
Episode: 30/1000, Scores(Time Frames): 56, Total Rewards(adjusted): -0.17, Epsilon: 0.9
Episode: 31/1000, Scores(Time Frames): 63, Total Rewards(adjusted): -0.18, Epsilon: 0.9
Episode: 32/1000, Scores(Time Frames): 48, Total Rewards(adjusted): -0.17, Epsilon: 0.9
Episode: 33/1000, Scores(Time Frames): 69, Total Rewards(adjusted): -0.15, Epsilon: 0.89
Episode: 34/1000, Scores(Time Frames): 55, Total Rewards(adjusted): -0.091, Epsilon: 0.89
Episode: 35/1000, Scores(Time Frames): 46, Total Rewards(adjusted): -0.19, Epsilon: 0.89
Episode: 36/1000, Scores(Time Frames): 46, Total Rewards(adjusted): -0.11, Epsilon: 0.89
Episode: 37/1000, Scores(Time Frames): 82, Total Rewards(adjusted): -0.06, Epsilon: 0.88
Episode: 38/1000, Scores(Time Frames): 116, Total Rewards(adjusted): -0.034, Epsilon: 0.88
Episode: 39/1000, Scores(Time Frames): 37, Total Rewards(adjusted): -0.18, Epsilon: 0.88
Episode: 40/1000, Scores(Time Frames): 79, Total Rewards(adjusted): -0.077, Epsilon: 0.87
Episode: 41/1000, Scores(Time Frames): 71, Total Rewards(adjusted): -0.12, Epsilon: 0.87
Episode: 42/1000, Scores(Time Frames): 67, Total Rewards(adjusted): -0.15, Epsilon: 0.87
